Type,Title,Date Added,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Rating,_merge,Original Network,Netflix Exclusive Regions,Original
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Drama,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Animation,Short",5.1,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,5.2,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Drama,6.0,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Musical,Romance",5.9,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Thriller",6.5,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Romance,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Drama,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Music,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Romance,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Music,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Romance,6.5,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",7.9,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",9.5,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Romance,7.5,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",7.3,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Romance,Short",5.9,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",5.0,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Horror,Sci-Fi",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Documentary,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Music,Sci-Fi",5.5,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Family,Romance",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",8.9,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Crime,Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Music,Romance",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Documentary,6.2,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Biography,Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Biography,Documentary,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Drama,Family",6.0,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Family,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Short,Thriller",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Music,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Horror,Mystery,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,8.0,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",7.8,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Drama,Romance",9.4,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short,Thriller",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Documentary,Family,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Animation,Comedy,Family",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Family,Fantasy",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Horror,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Horror,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Horror,Short",-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2018,18+,7.7,1.0,0.0,0.0,0.0,"Crime,Drama,Romance",-,both,Netflix,Worldwide,True
