Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
Ancient Aliens,2010,2019,"Game-Show,Reality-TV",TV Show,TV-PG,False,7.9,Netflix
Avengement,2019,2019,"Action,Drama,Short",Movie,TV-MA,False,7.7,-
Clive Davis: The Soundtrack of Our Lives,2017,2019,Documentary,Movie,TV-14,False,7.5,-
Five Elements Ninjas,1982,2019,-,Movie,R,False,-,-
Sebastian Maniscalco: What's Wrong with People?,2012,2019,Comedy,Movie,TV-14,False,8.1,-
The Last Kids on Earth,2019,2019,"Adventure,Animation,Comedy",TV Show,TV-Y7-FV,False,7.7,Netflix
The Witch,2015,2018,"Drama,Mystery,Short",Movie,R,False,4.4,-
Click for Murder,2017,2017,Crime,TV Show,TV-14,False,6.7,Netflix
I Am Wrath,2016,2019,"Action,Crime,Drama",Movie,R,False,5.4,-
"As Above, So Below",2014,2018,"Documentary,Reality-TV",Movie,R,False,8.1,-
Scott Pilgrim vs. the World,2010,2018,"Action,Comedy,Fantasy",Movie,PG-13,False,7.5,-
ARQ,2016,2016,"Action,Sci-Fi,Thriller",Movie,TV-MA,True,6.4,-
Cedric the Entertainer: Live from the Ville,2016,2016,Comedy,Movie,TV-MA,False,5.9,-
Louis C.K.: Hilarious,2010,2016,Comedy,Movie,,False,8.5,-
Raiders!: The Story of the Greatest Fan Film Ever Made,2015,2016,Documentary,Movie,NR,False,6.9,-
The White Helmets,2016,2016,"Crime,Documentary,Short",Movie,TV-14,True,7.5,-
America's Book of Secrets,2014,2019,Documentary,TV Show,TV-14,False,7.2,Netflix
Bakugan: Battle Planet,2018,2019,Animation,TV Show,TV-PG,False,6.3,-
Cold Case Files,2017,2019,Crime,TV Show,TV-14,False,8.1,Netflix
Los Tigres del Norte at Folsom Prison,2019,2019,"Documentary,Music",Movie,TV-PG,True,7.4,-
Pawn Stars,2010,2019,Reality-TV,TV Show,TV-PG,False,7.2,Hulu
Steal a Pencil for Me,2006,2019,"Documentary,Romance",Movie,TV-14,False,7.5,-
Surviving R. Kelly,2019,2019,"Documentary,Music",TV Show,TV-MA,False,7.6,Netflix
The Curse of Oak Island,2014,2019,"Documentary,Reality-TV",TV Show,TV-PG,False,7.0,Netflix
The Outsider,2019,2019,"Drama,Fantasy,Horror",Movie,TV-MA,True,8.5,-
The Rap Game,2016,2019,Reality-TV,TV Show,TV-14,False,6.7,Netflix
The Universe,2009,2019,"Drama,Short",TV Show,TV-PG,False,5.4,Netflix
Al Hayba,2017,2018,"Action,Romance",TV Show,TV-14,False,7.6,-
Arisan 2,2011,2018,-,Movie,TV-14,False,-,-
Cabins in the Wild with Dick Strawbridge,2017,2018,Reality-TV,TV Show,TV-PG,False,6.8,Netflix
Cardboard Gangsters,2016,2018,"Crime,Drama",Movie,TV-MA,False,6.4,-
Eeda,2018,2018,"Drama,Romance",Movie,TV-14,False,7.3,-
Galih dan Ratna,2017,2018,Drama,Movie,TV-PG,False,6.7,-
Gie,2005,2018,"Biography,Drama",Movie,TV-14,False,7.6,-
​Goli Soda 2,2018,2018,-,Movie,TV-MA,False,-,-
How to Live Mortgage Free with Sarah Beeny,2018,2018,-,TV Show,TV-14,False,-,Netflix
Inside The Freemasons,2017,2018,-,TV Show,TV-14,False,-,-
Jugaad,2017,2018,"Comedy,Drama",Movie,TV-14,False,5.2,-
​Maj Rati ​​Keteki,2017,2018,-,Movie,TV-14,False,-,-
​Mayurakshi,2017,2018,-,Movie,TV-14,False,-,-
Red Oleanders Raktokarobi,2017,2018,-,Movie,TV-14,False,-,-
Samantaral,2017,2018,Drama,Movie,TV-MA,False,7.6,-
The Secret,2018,2018,"Drama,Fantasy,Romance",Movie,TV-MA,False,7.4,-
First They Killed My Father,2017,2017,"Biography,Drama,History",Movie,TV-MA,True,7.2,-
Gagarin: First in Space,2013,2017,-,Movie,TV-14,False,-,-
Janaan,2016,2017,"Drama,Musical,Romance",Movie,TV-14,False,7.1,-
Larceny,2017,2017,Short,Movie,TV-14,False,7.9,-
Rumble,2016,2017,"Drama,Short,Sport",Movie,TV-MA,False,6.6,-
Strong Island,2017,2017,Documentary,Movie,TV-MA,True,6.4,-
The Five,2016,2017,"Crime,Drama,Mystery",TV Show,TV-MA,False,7.7,Netflix
Natural Born Pranksters,2016,2016,Comedy,Movie,R,False,3.6,-
Sample This,2012,2016,"Documentary,Music",Movie,TV-14,False,6.4,-
Wartime Portraits,2014,2016,History,TV Show,TV-MA,False,6.4,-
Cowspiracy: The Sustainability Secret,2014,2015,Documentary,Movie,NR,False,8.3,-
Oh! Baby,2019,2019,-,Movie,TV-14,False,-,-
The Crystal Calls Making the Dark Crystal: Age of Resistance,2019,2019,-,Movie,TV-PG,False,-,-
We Have Always Lived in the Castle,2018,2019,"Drama,Mystery,Thriller",Movie,TV-14,False,5.6,-
Bangkok Hell,2002,2018,-,Movie,TV-MA,False,-,-
Behind the Newsroom,2015,2018,-,TV Show,TV-14,False,-,-
Bleach,2018,2018,Comedy,Movie,TV-14,True,7.9,Netflix
Boca Juniors Confidential,2018,2018,-,TV Show,TV-PG,True,-,Netflix
Car Masters: Rust to Riches,2018,2018,Reality-TV,TV Show,TV-PG,True,8.7,Netflix
Norm Macdonald Has a Show,2018,2018,"Comedy,Talk-Show",TV Show,TV-MA,True,8.8,Netflix
Still,2010,2018,"Horror,Short",Movie,TV-MA,False,7.3,-
Super Monsters Monster Party,2018,2018,-,TV Show,TV-Y,False,-,-
The Angel,2018,2018,"Drama,Thriller",Movie,TV-MA,True,6.6,-
The Land of Steady Habits,2018,2018,"Comedy,Drama",Movie,TV-MA,True,6.2,-
The Rise of Phoenixes,2018,2018,"Drama,History,Romance",TV Show,TV-14,False,8.8,Netflix
American Warfighter,2019,2019,-,Movie,TV-MA,False,-,-
Deviant Love,2019,2019,Thriller,Movie,TV-14,False,3.5,-
Head Count,2018,2019,"Horror,Mystery,Thriller",Movie,TV-MA,False,5.3,-
"Hello, Privilege. It's Me, Chelsea",2019,2019,Documentary,Movie,TV-MA,True,4.2,-
Kabaneri of the Iron Fortress: The Battle of Unato,2019,2019,-,TV Show,TV-MA,False,-,-
Locked on You,2018,2019,-,Movie,TV-14,False,-,-
Marianne,2019,2019,Short,TV Show,TV-MA,True,5.6,Netflix
Monarca,2019,2019,Drama,TV Show,TV-MA,True,8.1,Netflix
Shanghai Fortress,2019,2019,-,Movie,TV-14,True,-,-
Tall Girl,2019,2019,Comedy,Movie,TV-PG,True,5.3,-
Time Trap,2018,2019,"Action,Adventure,Sci-Fi",Movie,TV-14,False,6.5,-
Top Boy,2019,2019,"Crime,Drama,Thriller",TV Show,TV-MA,True,8.3,Netflix
Unbelievable,2019,2019,"Comedy,Crime,Horror",TV Show,TV-MA,True,6.1,Netflix
Reversing Roe,2018,2018,Documentary,Movie,TV-14,True,7.4,-
Ghost of the Mountains,2017,2017,-,Movie,G,False,-,-
Extremis,2016,2016,"Action,Comedy,Horror",Movie,TV-PG,True,8.2,-
The I-Land,2019,2019,"Adventure,Drama,Mystery",TV Show,TV-MA,True,4.4,Netflix
"The Mind, Explained",2019,2019,Documentary,TV Show,TV-14,True,8.1,Netflix
Turbo,2013,2019,"Crime,Drama,Short",Movie,PG,False,6.7,-
Life,2018,2018,"Mystery,Short",TV Show,TV-MA,False,8.6,-
On My Skin,2018,2018,-,Movie,TV-MA,True,-,-
Heroin(e),2017,2017,"Documentary,Short",Movie,TV-14,True,6.8,-
Jeff Dunham: Relative Disaster,2017,2017,Comedy,Movie,TV-MA,False,6.3,-
Daniel Sloss: Live Shows,2018,2018,Comedy,TV Show,TV-MA,False,8.5,Netflix
If I were an Animal,2018,2018,-,TV Show,TV-Y,False,-,-
The Resistance Banker,2018,2018,-,Movie,TV-MA,True,-,-
The Forgotten,2014,2017,"Action,Crime,Drama",Movie,TV-MA,False,9.1,-
Bill Burr: Paper Tiger,2019,2019,Comedy,Movie,TV-MA,False,8.2,-
Eat Pray Love,2010,2019,"Drama,Romance",Movie,PG-13,False,5.8,-
Evelyn,2019,2019,Documentary,Movie,TV-MA,True,7.2,-
Our Godfather,2019,2019,Documentary,Movie,TV-MA,False,6.8,-
Terrace House: Tokyo 2019-2020,2019,2019,Reality-TV,TV Show,TV-MA,False,7.6,Netflix
"My Teacher, My Obsession",2018,2018,"Drama,Thriller",Movie,TV-14,True,4.4,-
68 Kill,2017,2019,"Comedy,Crime,Romance",Movie,R,False,6.0,-
American Psycho,2000,2019,Talk-Show,Movie,R,False,5.7,-
Dante's Peak,1997,2019,"Action,Adventure,Thriller",Movie,PG-13,False,5.9,-
Elena,2012,2019,"Drama,Short",Movie,TV-14,False,9.2,-
First Kill,2017,2019,"Action,Thriller",Movie,R,False,5.0,-
For the Birds,2018,2019,"Animation,Comedy,Family",Movie,TV-MA,False,6.6,-
Igor,2008,2019,"Adventure,Sci-Fi",Movie,PG,False,7.4,-
Just Friends,2005,2019,"Adventure,Animation,Comedy",Movie,PG-13,False,8.8,-
Loo Loo Kids: Johny & Friends Musical Adventures,2016,2019,-,TV Show,TV-Y,False,-,-
Mokalik (Mechanic),2019,2019,Comedy,Movie,TV-14,False,6.6,-
Mr. Woodcock,2007,2019,"Comedy,Romance,Sport",Movie,PG-13,False,5.1,-
My Sister's Keeper,2009,2019,"Action,Adventure,Comedy",Movie,PG-13,False,7.2,-
Mystic River,2003,2019,"Crime,Drama,Mystery",Movie,R,False,7.9,-
Oct-01,2014,2019,-,Movie,TV-MA,False,-,-
Olmo & the Seagull,2014,2019,"Documentary,Drama,Family",Movie,TV-MA,False,7.4,-
Open Season,2006,2019,Drama,Movie,PG,False,7.1,-
Phone Swap,2012,2019,Comedy,Movie,TV-14,False,6.0,-
Poseidon,2006,2019,"Action,Drama,Romance",Movie,PG-13,False,5.6,-
Rachel Getting Married,2008,2019,"Drama,Romance",Movie,R,False,6.7,-
Serial Killer with Piers Morgan,2018,2019,"Crime,Documentary",TV Show,TV-14,False,3.6,Netflix
Spookley the Square Pumpkin,2004,2019,"Animation,Family",Movie,G,False,5.0,-
Stripes,1981,2019,"Action,Adventure,Animation",Movie,R,False,7.4,-
Superbad,2007,2019,Comedy,Movie,R,False,7.6,-
The Bridge,2017,2019,Talk-Show,Movie,TV-14,False,8.5,Hulu
The CEO,2016,2019,Mystery,Movie,TV-14,False,6.1,-
The Lake House,2006,2019,"Comedy,Drama,Fantasy",Movie,PG,False,7.3,-
The Last Exorcism,2010,2019,"Horror,Mystery,Thriller",Movie,PG-13,False,5.6,-
The Saint,1997,2019,"Adventure,Animation,Comedy",Movie,PG-13,False,8.0,Prime
The Taking of Pelham 123,2009,2019,"Action,Crime,Thriller",Movie,R,False,6.4,-
Transformers Rescue Bots Academy,2019,2019,-,TV Show,TV-Y,False,-,-
Transformers: Cyberverse,2018,2019,Animation,TV Show,TV-Y7,False,7.0,Netflix
Uncle Naji in UAE,2019,2019,Comedy,Movie,TV-14,False,5.7,-
Used Goods,2018,2019,-,Movie,TV-MA,False,-,-
You Don't Mess with the Zohan,2008,2019,Comedy,Movie,UR,False,5.5,-
Age of Rebellion,2018,2018,"Crime,Drama,Romance",TV Show,TV-MA,False,9.2,Netflix
Barça Dreams,2015,2018,"Documentary,Sport",Movie,TV-14,False,7.3,-
