Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Armed and Deadly,-,13+,0,0,1,0,-,-,False,-,-,-
Battlestar Galactica,-,16+,0,1,0,0,-,-,False,tvSeries,"Action,Adventure,Drama",8.7
Battlestar Galactica,-,16+,0,1,0,0,-,-,False,tvSeries,"Adventure,Drama,Sci-Fi",-
Battlestar Galactica,-,16+,0,1,0,0,-,-,False,tvSeries,"Action,Adventure,Sci-Fi",7.1
Battlestar Galactica,-,16+,0,1,0,0,-,-,False,movie,"Action,Adventure,Sci-Fi",6.9
Battlestar Galactica,-,16+,0,1,0,0,-,-,False,movie,Sci-Fi,-
Battlestar Galactica,-,7+,0,1,0,0,-,-,False,tvSeries,"Action,Adventure,Drama",8.7
Battlestar Galactica,-,7+,0,1,0,0,-,-,False,tvSeries,"Adventure,Drama,Sci-Fi",-
Battlestar Galactica,-,7+,0,1,0,0,-,-,False,tvSeries,"Action,Adventure,Sci-Fi",7.1
Battlestar Galactica,-,7+,0,1,0,0,-,-,False,movie,"Action,Adventure,Sci-Fi",6.9
Battlestar Galactica,-,7+,0,1,0,0,-,-,False,movie,Sci-Fi,-
Beloved Sisters,-,-,0,0,1,0,-,-,False,-,-,-
Bitch,2018,-,-,-,-,-,-,-,False,movie,\N,5.8
Bitch,2018,-,-,-,-,-,-,-,False,tvSeries,Comedy,-
Bitch,2018,-,-,-,-,-,-,-,False,movie,"Adventure,Comedy,Drama",6.6
Bitch,2018,-,-,-,-,-,-,-,False,tvSeries,Animation,-
Bitch,2018,-,-,-,-,-,-,-,False,movie,"Comedy,Drama,Thriller",5.0
Black Gold,-,18+,0,1,1,0,-,-,False,movie,"Action,Drama,History",6.7
Black Gold,-,18+,0,1,1,0,-,-,False,movie,Drama,5.4
Black Gold,-,18+,0,1,1,0,-,-,False,movie,"Drama,History,Sport",6.4
Black Gold,-,18+,0,1,1,0,-,-,False,movie,Western,8.6
Black Gold,-,18+,0,1,1,0,-,-,False,movie,"Action,Adventure,Romance",5.5
Black Gold,-,18+,0,1,1,0,-,-,False,movie,Documentary,7.2
Black Gold,-,18+,0,1,1,0,-,-,False,movie,"Action,Drama,Romance",5.3
Black Gold,-,18+,0,1,1,0,-,-,False,movie,Western,-
Black Gold,-,18+,0,1,1,0,-,-,False,tvSeries,"Documentary,Reality-TV",6.2
Black Gold,-,18+,0,1,1,0,-,-,False,movie,"Action,Adventure,Crime",6.2
Black Rose,2017,18+,1,0,0,0,-,-,False,tvSeries,Mystery,-
Black Rose,2017,18+,1,0,0,0,-,-,False,movie,Crime,-
Black Rose,2017,18+,1,0,0,0,-,-,False,movie,"Action,Crime,Drama",2.5
Black Rose,2017,18+,1,0,0,0,-,-,False,movie,"Documentary,Music",-
Black Spurs,-,-,0,0,1,0,-,-,False,movie,Western,5.9
Carmen Sandiego,2019,7+,1,0,0,0,-,-,False,tvSeries,"Action,Adventure,Animation",8.0
Carmen Sandiego,2019,7+,1,0,0,0,-,-,False,movie,"Action,Adventure,Family",-
Christmas Icetastrophe,-,7+,0,0,1,0,-,-,False,-,-,-
Clutter,-,-,0,0,1,0,-,-,False,movie,Drama,-
Clutter,-,-,0,0,1,0,-,-,False,movie,Drama,6.0
Crusade in Europe,-,-,0,0,1,0,-,-,False,tvSeries,"Documentary,News,War",7.2
Daddy's Home,-,-,0,0,1,0,-,-,False,movie,"Comedy,Family",6.2
Daddy's Home,-,-,0,0,1,0,-,-,False,movie,"Drama,Thriller",5.1
Delhi-6,-,-,1,0,0,0,-,-,False,movie,"Comedy,Drama",6.0
Detention,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Horror,Mystery",5.7
Detention,-,18+,0,0,1,0,-,-,False,movie,Drama,6.3
Detention,-,18+,0,0,1,0,-,-,False,tvSeries,"Animation,Comedy,Family",7.3
Detention,-,18+,0,0,1,0,-,-,False,movie,Drama,6.1
Detention,-,18+,0,0,1,0,-,-,False,movie,Horror,-
Detention,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Detention,-,18+,0,0,1,0,-,-,False,movie,"Action,Drama,Thriller",4.1
Detention,-,18+,0,0,1,0,-,-,False,movie,Horror,-
Detention,-,18+,0,0,1,0,-,-,False,movie,"Drama,Horror",-
Detention,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Detention,-,18+,0,0,1,0,-,-,False,tvSeries,Comedy,-
Detention,-,18+,0,0,1,0,-,-,False,movie,"Horror,Thriller",3.0
Detention,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Drama",-
Five Minarets in New York,-,-,0,0,1,0,-,-,False,movie,"Action,Thriller",5.8
Fullmetal Alchemist,2018,16+,1,0,0,0,-,-,False,-,-,-
"Game Over, Man!",2018,18+,1,0,0,0,Netflix,Worldwide,True,movie,"Action,Comedy",5.4
Ghosts of the West: The End of the Bonanza Trail,-,-,0,0,1,0,-,-,False,-,-,-
Girls' Last Tour,-,16+,0,0,1,0,-,-,False,-,-,-
HAPPY!,-,18+,1,0,0,0,-,-,False,-,-,-
Harold & Kumar Go to White Castle,2020,-,-,-,-,-,-,-,False,movie,"Adventure,Comedy",7.1
Holly Star,2019,7+,1,0,0,0,-,-,False,movie,Comedy,5.1
Home in Oklahoma,-,all,0,0,1,0,-,-,False,movie,"Comedy,Music,Western",6.2
Husbands in Goa,2018,-,1,0,0,0,-,-,False,movie,Comedy,3.7
